1;Antioquia;5
2;Atlántico;8
3;Bogotá, D.C.;11
4;Bolívar;13
5;Boyacá;15
6;Caldas;17
7;Caquetá;18
8;Cauca;19
9;Cesar;20
10;Córdoba;23
11;Cundinamarca;25
12;Chocó;27
13;Huila;41
14;La Guajira;44
15;Magdalena;47
16;Meta;50
17;Nariño;52
18;Norte de Santander;54
19;Quindio;63
20;Risaralda;66
21;Santander;68
22;Sucre;70
23;Tolima;73
24;Valle del Cauca;76
25;Arauca;81
26;Casanare;85
27;Putumayo;86
28;Archipiélago de San Andrés, Providencia y Santa Catalina;88
29;Amazonas;91
30;Guainía;94
31;Guaviare;95
32;Vaupés;97
33;Vichada;99
